"Year","Rank","Song Title","Artist(s)"
"01/01/1966","2","We Can Work It Out","The Beatles"
"01/01/1966","18","Day Tripper","The Beatles"
"01/08/1966","1","We Can Work It Out","The Beatles"
"01/08/1966","10","Day Tripper","The Beatles"
"01/15/1966","1","We Can Work It Out","The Beatles"
"01/15/1966","6","Day Tripper","The Beatles"
"01/22/1966","2","We Can Work It Out","The Beatles"
"01/22/1966","5","Day Tripper","The Beatles"
"01/29/1966","1","We Can Work It Out","The Beatles"
"01/29/1966","13","Day Tripper","The Beatles"
"02/05/1966","4","We Can Work It Out","The Beatles"
"02/05/1966","22","Day Tripper","The Beatles"
"02/12/1966","5","We Can Work It Out","The Beatles"
"02/12/1966","36","Day Tripper","The Beatles"
"02/19/1966","13","We Can Work It Out","The Beatles"
"02/19/1966","47","Day Tripper","The Beatles"
"02/26/1966","24","We Can Work It Out","The Beatles"
"03/05/1966","25","Nowhere Man","The Beatles"
"03/05/1966","48","We Can Work It Out","The Beatles"
"03/12/1966","7","Nowhere Man","The Beatles"
"03/12/1966","89","What Goes On","The Beatles"
"03/19/1966","4","Nowhere Man","The Beatles"
"03/19/1966","81","What Goes On","The Beatles"
"03/26/1966","3","Nowhere Man","The Beatles"
"04/02/1966","6","Nowhere Man","The Beatles"
"04/09/1966","6","Nowhere Man","The Beatles"
"04/16/1966","11","Nowhere Man","The Beatles"
"04/23/1966","13","Nowhere Man","The Beatles"
"04/30/1966","28","Nowhere Man","The Beatles"
"06/11/1966","28","Paperback Writer","The Beatles"
"06/11/1966","72","Rain","The Beatles"
"06/18/1966","15","Paperback Writer","The Beatles"
"06/18/1966","42","Rain","The Beatles"
"06/25/1966","1","Paperback Writer","The Beatles"
"06/25/1966","29","Rain","The Beatles"
"07/02/1966","2","Paperback Writer","The Beatles"
"07/02/1966","24","Rain","The Beatles"
"07/09/1966","1","Paperback Writer","The Beatles"
"07/09/1966","23","Rain","The Beatles"
"07/16/1966","5","Paperback Writer","The Beatles"
"07/16/1966","23","Rain","The Beatles"
"07/23/1966","6","Paperback Writer","The Beatles"
"07/23/1966","34","Rain","The Beatles"
"07/30/1966","12","Paperback Writer","The Beatles"
"08/06/1966","18","Paperback Writer","The Beatles"
"08/13/1966","37","Paperback Writer","The Beatles"
"08/20/1966","52","Yellow Submarine","The Beatles"
"08/27/1966","8","Yellow Submarine","The Beatles"
"08/27/1966","65","Eleanor Rigby","The Beatles"
"09/03/1966","5","Yellow Submarine","The Beatles"
"09/03/1966","47","Eleanor Rigby","The Beatles"
"09/10/1966","3","Yellow Submarine","The Beatles"
"09/10/1966","26","Eleanor Rigby","The Beatles"
"09/17/1966","2","Yellow Submarine","The Beatles"
"09/17/1966","14","Eleanor Rigby","The Beatles"
"09/24/1966","4","Yellow Submarine","The Beatles"
"09/24/1966","11","Eleanor Rigby","The Beatles"
"10/01/1966","8","Yellow Submarine","The Beatles"
"10/01/1966","11","Eleanor Rigby","The Beatles"
"10/08/1966","16","Yellow Submarine","The Beatles"
"10/08/1966","21","Eleanor Rigby","The Beatles"
"10/15/1966","32","Yellow Submarine","The Beatles"
"10/15/1966","37","Eleanor Rigby","The Beatles"
