Title,Writer(s),Length
Ben,Walter Scharf -¾Don Black,2:42
Greatest Show on Earth,Mel Larson - Jerry Marcellino,2:47
People Make the World Go Round,Thom Bell - Linda Creed,3:15
We've Got a Good Thing Going,"The Corporation (Alphonso Mizell, Berry Gordy, Deke Richards, Freddie Perren)",3:01
Everybody's Somebody's Fool,Gladys Hampton - Regina Adams -¾Ace Adams,2:58
My Girl,Smokey Robinson -¾Ronald White,3:05
What Goes Around Comes Around,Allen Levinsky - Arthur Stokes - Dana Meyers - Floyd Weatherspoon,3:35
In Our Small Way,Beatrice Verdi - Christine Yarian,3:39
 Shoo-Be-Doo-Be-Doo-Da-Day,Sylvia Moy -¾Henry Cosby -¾Stevie Wonder,3:19
You Can Cry on My Shoulder,Berry Gordy,2:32
