"Year","Rank","Song Title","Artist(s)","Album"
"04/11/1964","61","Thank You Girl","The Beatles","Live At The BBC (Remastered)"
"04/11/1964","74","There's A Place","The Beatles","Please Please Me (Remastered)"
"04/11/1964","78","Roll Over Beethoven","The Beatles","With The Beatles (Remastered)"
"04/11/1964","81","Love Me Do","The Beatles","Please Please Me (Remastered)"
"04/18/1964","1","Can't Buy Me Love","The Beatles","A Hard Day's Night (Remastered)"
"04/18/1964","2","Twist And Shout","The Beatles","Please Please Me (Remastered)"
"04/18/1964","5","Do You Want To Know A Secret","The Beatles","Please Please Me (Remastered)"
"04/18/1964","8","She Loves You","The Beatles","1 (Remastered)"
"04/18/1964","16","Please Please Me","The Beatles","Please Please Me (Remastered)"
"04/18/1964","19","I Want To Hold Your Hand","The Beatles","1 (Remastered)"
"04/18/1964","45","I Saw Her Standing There","The Beatles","Please Please Me (Remastered)"
"04/18/1964","48","All My Loving","The Beatles","With The Beatles (Remastered)"
"04/18/1964","49","Thank You Girl","The Beatles","Live At The BBC (Remastered)"
"04/18/1964","55","You Can't Do That","The Beatles","A Hard Day's Night (Remastered)"
"04/18/1964","73","Love Me Do","The Beatles","Please Please Me (Remastered)"
"04/18/1964","88","Why","The Beatles","The Beatles (Remastered)"
"04/25/1964","1","Can't Buy Me Love","The Beatles","A Hard Day's Night (Remastered)"
"04/25/1964","2","Twist And Shout","The Beatles","Please Please Me (Remastered)"
"04/25/1964","3","Do You Want To Know A Secret","The Beatles","Please Please Me (Remastered)"
"04/25/1964","19","She Loves You","The Beatles","1 (Remastered)"
"04/25/1964","24","I Want To Hold Your Hand","The Beatles","1 (Remastered)"
"04/25/1964","29","Please Please Me","The Beatles","Please Please Me (Remastered)"
"04/25/1964","37","Thank You Girl","The Beatles","Live At The BBC (Remastered)"
"04/25/1964","45","All My Loving","The Beatles","With The Beatles (Remastered)"
"04/25/1964","60","You Can't Do That","The Beatles","A Hard Day's Night (Remastered)"
"04/25/1964","67","Love Me Do","The Beatles","Please Please Me (Remastered)"
"05/02/1964","1","Can't Buy Me Love","The Beatles","A Hard Day's Night (Remastered)"
"05/02/1964","3","Do You Want To Know A Secret","The Beatles","Please Please Me (Remastered)"
"05/02/1964","7","Twist And Shout","The Beatles","Please Please Me (Remastered)"
"05/02/1964","32","Love Me Do","The Beatles","Please Please Me (Remastered)"
"05/02/1964","36","She Loves You","The Beatles","1 (Remastered)"
"05/02/1964","40","Thank You Girl","The Beatles","Live At The BBC (Remastered)"
"05/02/1964","59","All My Loving","The Beatles","With The Beatles (Remastered)"
"05/09/1964","2","Do You Want To Know A Secret","The Beatles","Please Please Me (Remastered)"
"05/09/1964","5","Can't Buy Me Love","The Beatles","A Hard Day's Night (Remastered)"
"05/09/1964","11","Twist And Shout","The Beatles","Please Please Me (Remastered)"
"05/09/1964","12","Love Me Do","The Beatles","Please Please Me (Remastered)"
"05/09/1964","35","Thank You Girl","The Beatles","Live At The BBC (Remastered)"
"05/09/1964","64","P.S. I Love You","The Beatles","Please Please Me (Remastered)"
"05/16/1964","3","Love Me Do","The Beatles","Please Please Me (Remastered)"
"05/16/1964","5","Do You Want To Know A Secret","The Beatles","Please Please Me (Remastered)"
"05/16/1964","11","Can't Buy Me Love","The Beatles","A Hard Day's Night (Remastered)"
"05/16/1964","20","Twist And Shout","The Beatles","Please Please Me (Remastered)"
"05/16/1964","33","P.S. I Love You","The Beatles","Please Please Me (Remastered)"
"05/16/1964","49","Thank You Girl","The Beatles","Live At The BBC (Remastered)"
"05/23/1964","2","Love Me Do","The Beatles","Please Please Me (Remastered)"
"05/23/1964","12","Do You Want To Know A Secret","The Beatles","Please Please Me (Remastered)"
"05/23/1964","15","P.S. I Love You","The Beatles","Please Please Me (Remastered)"
"05/23/1964","23","Can't Buy Me Love","The Beatles","A Hard Day's Night (Remastered)"
"05/23/1964","41","Twist And Shout","The Beatles","Please Please Me (Remastered)"
"05/30/1964","1","Love Me Do","The Beatles","Please Please Me (Remastered)"
"05/30/1964","11","P.S. I Love You","The Beatles","Please Please Me (Remastered)"
"05/30/1964","19","Do You Want To Know A Secret","The Beatles","Please Please Me (Remastered)"
"05/30/1964","42","Can't Buy Me Love","The Beatles","A Hard Day's Night (Remastered)"
"06/06/1964","2","Love Me Do","The Beatles","Please Please Me (Remastered)"
"06/06/1964","10","P.S. I Love You","The Beatles","Please Please Me (Remastered)"
"06/06/1964","36","Do You Want To Know A Secret","The Beatles","Please Please Me (Remastered)"
"06/13/1964","4","Love Me Do","The Beatles","Please Please Me (Remastered)"
"06/13/1964","15","P.S. I Love You","The Beatles","Please Please Me (Remastered)"
"06/13/1964","97","Four By The Beatles","The Beatles","The Beatles (Remastered)"
"06/20/1964","7","Love Me Do","The Beatles","Please Please Me (Remastered)"
"06/20/1964","22","P.S. I Love You","The Beatles","Please Please Me (Remastered)"
"06/20/1964","97","Four By The Beatles","The Beatles","The Beatles (Remastered)"
"06/27/1964","11","Love Me Do","The Beatles","Please Please Me (Remastered)"
"06/27/1964","37","P.S. I Love You","The Beatles","Please Please Me (Remastered)"
"06/27/1964","92","Four By The Beatles","The Beatles","The Beatles (Remastered)"
"07/04/1964","19","Love Me Do","The Beatles","Please Please Me (Remastered)"
"07/11/1964","24","Love Me Do","The Beatles","Please Please Me (Remastered)"
"07/18/1964","21","A Hard Day's Night","The Beatles","A Hard Day's Night (Remastered)"
"07/18/1964","90","Ain't She Sweet","The Beatles","We Love The Beatles"
"07/25/1964","2","A Hard Day's Night","The Beatles","A Hard Day's Night (Remastered)"
"07/25/1964","67","Ain't She Sweet","The Beatles","We Love The Beatles"
"07/25/1964","75","I Should Have Known Better","The Beatles","A Hard Day's Night (Remastered)"
"07/25/1964","80","And I Love Her","The Beatles","A Hard Day's Night (Remastered)"
"08/01/1964","1","A Hard Day's Night","The Beatles","A Hard Day's Night (Remastered)"
"08/01/1964","40","Ain't She Sweet","The Beatles","We Love The Beatles"
"08/01/1964","62","I'll Cry Instead","The Beatles","A Hard Day's Night (Remastered)"
"08/01/1964","65","And I Love Her","The Beatles","A Hard Day's Night (Remastered)"
"08/01/1964","66","I Should Have Known Better","The Beatles","A Hard Day's Night (Remastered)"
"08/01/1964","92","If I Fell","The Beatles","A Hard Day's Night (Remastered)"
"08/01/1964","95","I'm Happy Just To Dance With You","The Beatles","A Hard Day's Night (Remastered)"
"08/08/1964","1","A Hard Day's Night","The Beatles","A Hard Day's Night (Remastered)"
"08/08/1964","25","Ain't She Sweet","The Beatles","We Love The Beatles"
"08/08/1964","40","And I Love Her","The Beatles","A Hard Day's Night (Remastered)"
"08/08/1964","44","I'll Cry Instead","The Beatles","A Hard Day's Night (Remastered)"
"08/08/1964","59","I Should Have Known Better","The Beatles","A Hard Day's Night (Remastered)"
"08/08/1964","87","If I Fell","The Beatles","A Hard Day's Night (Remastered)"
"08/15/1964","3","A Hard Day's Night","The Beatles","A Hard Day's Night (Remastered)"
"08/15/1964","22","Ain't She Sweet","The Beatles","We Love The Beatles"
"08/15/1964","27","And I Love Her","The Beatles","A Hard Day's Night (Remastered)"
"08/15/1964","34","I'll Cry Instead","The Beatles","A Hard Day's Night (Remastered)"
"08/15/1964","53","I Should Have Known Better","The Beatles","A Hard Day's Night (Remastered)"
"08/15/1964","72","If I Fell","The Beatles","A Hard Day's Night (Remastered)"
"08/22/1964","3","A Hard Day's Night","The Beatles","A Hard Day's Night (Remastered)"
"08/22/1964","17","And I Love Her","The Beatles","A Hard Day's Night (Remastered)"
"08/22/1964","19","Ain't She Sweet","The Beatles","We Love The Beatles"
"08/22/1964","29","I'll Cry Instead","The Beatles","A Hard Day's Night (Remastered)"
"08/22/1964","57","If I Fell","The Beatles","A Hard Day's Night (Remastered)"
"08/29/1964","4","A Hard Day's Night","The Beatles","A Hard Day's Night (Remastered)"
"08/29/1964","13","And I Love Her","The Beatles","A Hard Day's Night (Remastered)"
"08/29/1964","24","Ain't She Sweet","The Beatles","We Love The Beatles"
"08/29/1964","25","I'll Cry Instead","The Beatles","A Hard Day's Night (Remastered)"
"08/29/1964","54","If I Fell","The Beatles","A Hard Day's Night (Remastered)"
"09/05/1964","8","A Hard Day's Night","The Beatles","A Hard Day's Night (Remastered)"
"09/05/1964","12","And I Love Her","The Beatles","A Hard Day's Night (Remastered)"
"09/05/1964","30","Ain't She Sweet","The Beatles","We Love The Beatles"
"09/05/1964","34","I'll Cry Instead","The Beatles","A Hard Day's Night (Remastered)"
"09/05/1964","53","If I Fell","The Beatles","A Hard Day's Night (Remastered)"
"09/05/1964","81","Matchbox","The Beatles","Live At The BBC (Remastered)"
"09/05/1964","99","Slow Down","The Beatles","Live At The BBC (Remastered)"
"09/12/1964","8","A Hard Day's Night","The Beatles","A Hard Day's Night (Remastered)"
"09/12/1964","12","And I Love Her","The Beatles","A Hard Day's Night (Remastered)"
"09/12/1964","36","I'll Cry Instead","The Beatles","A Hard Day's Night (Remastered)"
"09/12/1964","37","Ain't She Sweet","The Beatles","We Love The Beatles"
"09/12/1964","42","Matchbox","The Beatles","Live At The BBC (Remastered)"
"09/12/1964","59","If I Fell","The Beatles","A Hard Day's Night (Remastered)"
"09/12/1964","67","Slow Down","The Beatles","Live At The BBC (Remastered)"
"09/19/1964","12","A Hard Day's Night","The Beatles","A Hard Day's Night (Remastered)"
"09/19/1964","28","And I Love Her","The Beatles","A Hard Day's Night (Remastered)"
"09/19/1964","32","Matchbox","The Beatles","Live At The BBC (Remastered)"
"09/19/1964","43","Slow Down","The Beatles","Live At The BBC (Remastered)"
"09/19/1964","55","If I Fell","The Beatles","A Hard Day's Night (Remastered)"
"09/26/1964","19","A Hard Day's Night","The Beatles","A Hard Day's Night (Remastered)"
"09/26/1964","23","Matchbox","The Beatles","Live At The BBC (Remastered)"
"09/26/1964","32","Slow Down","The Beatles","Live At The BBC (Remastered)"
"09/26/1964","59","If I Fell","The Beatles","A Hard Day's Night (Remastered)"
"10/03/1964","18","Matchbox","The Beatles","Live At The BBC (Remastered)"
"10/03/1964","24","A Hard Day's Night","The Beatles","A Hard Day's Night (Remastered)"
"10/03/1964","27","Slow Down","The Beatles","Live At The BBC (Remastered)"
"10/10/1964","18","Matchbox","The Beatles","Live At The BBC (Remastered)"
"10/10/1964","25","Slow Down","The Beatles","Live At The BBC (Remastered)"
"10/10/1964","50","A Hard Day's Night","The Beatles","A Hard Day's Night (Remastered)"
"10/17/1964","17","Matchbox","The Beatles","Live At The BBC (Remastered)"
"10/17/1964","39","Slow Down","The Beatles","Live At The BBC (Remastered)"
"10/24/1964","52","Matchbox","The Beatles","Live At The BBC (Remastered)"
"12/05/1964","22","I Feel Fine","The Beatles","1 (Remastered)"
"12/05/1964","46","She's A Woman","The Beatles","Live At The Hollywood Bowl"
"12/12/1964","5","I Feel Fine","The Beatles","1 (Remastered)"
"12/12/1964","29","She's A Woman","The Beatles","Live At The Hollywood Bowl"
"12/19/1964","2","I Feel Fine","The Beatles","1 (Remastered)"
"12/19/1964","14","She's A Woman","The Beatles","Live At The Hollywood Bowl"
"12/26/1964","1","I Feel Fine","The Beatles","1 (Remastered)"
"12/26/1964","4","She's A Woman","The Beatles","Live At The Hollywood Bowl"
"01/02/1965","1","I Feel Fine","The Beatles","1 (Remastered)"
"01/02/1965","4","She's A Woman","The Beatles","Live At The Hollywood Bowl"
"01/09/1965","1","I Feel Fine","The Beatles","1 (Remastered)"
"01/09/1965","11","She's A Woman","The Beatles","Live At The Hollywood Bowl"
"01/16/1965","2","I Feel Fine","The Beatles","1 (Remastered)"
"01/16/1965","12","She's A Woman","The Beatles","Live At The Hollywood Bowl"
"01/23/1965","4","I Feel Fine","The Beatles","1 (Remastered)"
"01/23/1965","14","She's A Woman","The Beatles","Live At The Hollywood Bowl"
"01/30/1965","11","I Feel Fine","The Beatles","1 (Remastered)"
"01/30/1965","37","She's A Woman","The Beatles","Live At The Hollywood Bowl"
"02/06/1965","22","I Feel Fine","The Beatles","1 (Remastered)"
"02/13/1965","40","I Feel Fine","The Beatles","1 (Remastered)"
"02/20/1965","53","Eight Days A Week","The Beatles","Beatles For Sale (Remastered)"
"02/20/1965","81","I Don't Want To Spoil The Party","The Beatles","Beatles For Sale (Remastered)"
"02/27/1965","19","Eight Days A Week","The Beatles","Beatles For Sale (Remastered)"
"02/27/1965","59","I Don't Want To Spoil The Party","The Beatles","Beatles For Sale (Remastered)"
"02/27/1965","81","4 - By The Beatles","The Beatles","The Beatles (Remastered)"
"03/06/1965","5","Eight Days A Week","The Beatles","Beatles For Sale (Remastered)"
"03/06/1965","47","I Don't Want To Spoil The Party","The Beatles","Beatles For Sale (Remastered)"
"03/06/1965","77","4 - By The Beatles","The Beatles","The Beatles (Remastered)"
"03/13/1965","1","Eight Days A Week","The Beatles","Beatles For Sale (Remastered)"
"03/13/1965","44","I Don't Want To Spoil The Party","The Beatles","Beatles For Sale (Remastered)"
"03/13/1965","73","4 - By The Beatles","The Beatles","The Beatles (Remastered)"
"03/20/1965","1","Eight Days A Week","The Beatles","Beatles For Sale (Remastered)"
"03/20/1965","39","I Don't Want To Spoil The Party","The Beatles","Beatles For Sale (Remastered)"
"03/20/1965","70","4 - By The Beatles","The Beatles","The Beatles (Remastered)"
"03/27/1965","4","Eight Days A Week","The Beatles","Beatles For Sale (Remastered)"
"03/27/1965","44","I Don't Want To Spoil The Party","The Beatles","Beatles For Sale (Remastered)"
"03/27/1965","68","4 - By The Beatles","The Beatles","The Beatles (Remastered)"
"04/03/1965","7","Eight Days A Week","The Beatles","Beatles For Sale (Remastered)"
"04/10/1965","11","Eight Days A Week","The Beatles","Beatles For Sale (Remastered)"
"04/17/1965","17","Eight Days A Week","The Beatles","Beatles For Sale (Remastered)"
"04/24/1965","38","Eight Days A Week","The Beatles","Beatles For Sale (Remastered)"
"04/24/1965","59","Ticket To Ride","The Beatles","Help! (Remastered)"
"05/01/1965","18","Ticket To Ride","The Beatles","Help! (Remastered)"
"05/01/1965","71","Yes It Is","The Beatles","Bossa With The Beatles"
"05/08/1965","3","Ticket To Ride","The Beatles","Help! (Remastered)"
"05/08/1965","57","Yes It Is","The Beatles","Bossa With The Beatles"
"05/15/1965","3","Ticket To Ride","The Beatles","Help! (Remastered)"
"05/15/1965","46","Yes It Is","The Beatles","Bossa With The Beatles"
"05/22/1965","1","Ticket To Ride","The Beatles","Help! (Remastered)"
"05/22/1965","54","Yes It Is","The Beatles","Bossa With The Beatles"
"05/29/1965","2","Ticket To Ride","The Beatles","Help! (Remastered)"
"06/05/1965","5","Ticket To Ride","The Beatles","Help! (Remastered)"
"06/12/1965","9","Ticket To Ride","The Beatles","Help! (Remastered)"
"06/19/1965","11","Ticket To Ride","The Beatles","Help! (Remastered)"
"06/26/1965","20","Ticket To Ride","The Beatles","Help! (Remastered)"
"07/03/1965","47","Ticket To Ride","The Beatles","Help! (Remastered)"
"08/07/1965","41","Help!","The Beatles","A Shipwreck In The Sand (Bonus Track Version)"
"08/14/1965","14","Help!","The Beatles","A Shipwreck In The Sand (Bonus Track Version)"
"08/21/1965","3","Help!","The Beatles","A Shipwreck In The Sand (Bonus Track Version)"
"08/28/1965","2","Help!","The Beatles","A Shipwreck In The Sand (Bonus Track Version)"
"09/04/1965","1","Help!","The Beatles","A Shipwreck In The Sand (Bonus Track Version)"
"09/11/1965","1","Help!","The Beatles","A Shipwreck In The Sand (Bonus Track Version)"
"09/18/1965","1","Help!","The Beatles","A Shipwreck In The Sand (Bonus Track Version)"
"09/25/1965","5","Help!","The Beatles","A Shipwreck In The Sand (Bonus Track Version)"
"09/25/1965","45","Yesterday","The Beatles","Help! (Remastered)"
"09/25/1965","87","Act Naturally","The Beatles","Help! (Remastered)"
"10/02/1965","3","Yesterday","The Beatles","Help! (Remastered)"
"10/02/1965","11","Help!","The Beatles","A Shipwreck In The Sand (Bonus Track Version)"
"10/02/1965","72","Act Naturally","The Beatles","Help! (Remastered)"
"10/09/1965","1","Yesterday","The Beatles","Help! (Remastered)"
"10/09/1965","15","Help!","The Beatles","A Shipwreck In The Sand (Bonus Track Version)"
"10/09/1965","51","Act Naturally","The Beatles","Help! (Remastered)"
"10/16/1965","1","Yesterday","The Beatles","Help! (Remastered)"
"10/16/1965","22","Help!","The Beatles","A Shipwreck In The Sand (Bonus Track Version)"
"10/16/1965","49","Act Naturally","The Beatles","Help! (Remastered)"
"10/23/1965","1","Yesterday","The Beatles","Help! (Remastered)"
"10/23/1965","29","Help!","The Beatles","A Shipwreck In The Sand (Bonus Track Version)"
"10/23/1965","47","Act Naturally","The Beatles","Help! (Remastered)"
"10/30/1965","1","Yesterday","The Beatles","Help! (Remastered)"
"10/30/1965","32","Help!","The Beatles","A Shipwreck In The Sand (Bonus Track Version)"
"10/30/1965","47","Act Naturally","The Beatles","Help! (Remastered)"
"11/06/1965","3","Yesterday","The Beatles","Help! (Remastered)"
"11/06/1965","54","Act Naturally","The Beatles","Help! (Remastered)"
"11/13/1965","11","Yesterday","The Beatles","Help! (Remastered)"
"11/20/1965","13","Yesterday","The Beatles","Help! (Remastered)"
"11/27/1965","26","Yesterday","The Beatles","Help! (Remastered)"
"12/04/1965","45","Yesterday","The Beatles","Help! (Remastered)"
"12/18/1965","36","We Can Work It Out","The Beatles","1 (Remastered)"
"12/18/1965","56","Day Tripper","The Beatles","1 (Remastered)"
"12/25/1965","11","We Can Work It Out","The Beatles","1 (Remastered)"
"12/25/1965","28","Day Tripper","The Beatles","1 (Remastered)"
"01/01/1966","2","We Can Work It Out","The Beatles","1 (Remastered)"
"01/01/1966","18","Day Tripper","The Beatles","1 (Remastered)"
"01/08/1966","1","We Can Work It Out","The Beatles","1 (Remastered)"
"01/08/1966","10","Day Tripper","The Beatles","1 (Remastered)"
"01/15/1966","1","We Can Work It Out","The Beatles","1 (Remastered)"
"01/15/1966","6","Day Tripper","The Beatles","1 (Remastered)"
"01/22/1966","2","We Can Work It Out","The Beatles","1 (Remastered)"
"01/22/1966","5","Day Tripper","The Beatles","1 (Remastered)"
"01/29/1966","1","We Can Work It Out","The Beatles","1 (Remastered)"
"01/29/1966","13","Day Tripper","The Beatles","1 (Remastered)"
"02/05/1966","4","We Can Work It Out","The Beatles","1 (Remastered)"
"02/05/1966","22","Day Tripper","The Beatles","1 (Remastered)"
"02/12/1966","5","We Can Work It Out","The Beatles","1 (Remastered)"
"02/12/1966","36","Day Tripper","The Beatles","1 (Remastered)"
"02/19/1966","13","We Can Work It Out","The Beatles","1 (Remastered)"
"02/19/1966","47","Day Tripper","The Beatles","1 (Remastered)"
"02/26/1966","24","We Can Work It Out","The Beatles","1 (Remastered)"
"03/05/1966","25","Nowhere Man","The Beatles","Rubber Soul (Remastered)"
"03/05/1966","48","We Can Work It Out","The Beatles","1 (Remastered)"
"03/12/1966","7","Nowhere Man","The Beatles","Rubber Soul (Remastered)"
"03/12/1966","89","What Goes On","The Beatles","Rubber Soul (Remastered)"
"03/19/1966","4","Nowhere Man","The Beatles","Rubber Soul (Remastered)"
"03/19/1966","81","What Goes On","The Beatles","Rubber Soul (Remastered)"
"03/26/1966","3","Nowhere Man","The Beatles","Rubber Soul (Remastered)"
"04/02/1966","6","Nowhere Man","The Beatles","Rubber Soul (Remastered)"
"04/09/1966","6","Nowhere Man","The Beatles","Rubber Soul (Remastered)"
"04/16/1966","11","Nowhere Man","The Beatles","Rubber Soul (Remastered)"
"04/23/1966","13","Nowhere Man","The Beatles","Rubber Soul (Remastered)"
"04/30/1966","28","Nowhere Man","The Beatles","Rubber Soul (Remastered)"
"06/11/1966","28","Paperback Writer","The Beatles","1 (Remastered)"
"06/11/1966","72","Rain","The Beatles","Liverpool Re-Imagining the Beatles"
"06/18/1966","15","Paperback Writer","The Beatles","1 (Remastered)"
"06/18/1966","42","Rain","The Beatles","Liverpool Re-Imagining the Beatles"
"06/25/1966","1","Paperback Writer","The Beatles","1 (Remastered)"
"06/25/1966","29","Rain","The Beatles","Liverpool Re-Imagining the Beatles"
"07/02/1966","2","Paperback Writer","The Beatles","1 (Remastered)"
"07/02/1966","24","Rain","The Beatles","Liverpool Re-Imagining the Beatles"
"07/09/1966","1","Paperback Writer","The Beatles","1 (Remastered)"
"07/09/1966","23","Rain","The Beatles","Liverpool Re-Imagining the Beatles"
"07/16/1966","5","Paperback Writer","The Beatles","1 (Remastered)"
"07/16/1966","23","Rain","The Beatles","Liverpool Re-Imagining the Beatles"
"07/23/1966","6","Paperback Writer","The Beatles","1 (Remastered)"
"07/23/1966","34","Rain","The Beatles","Liverpool Re-Imagining the Beatles"
"07/30/1966","12","Paperback Writer","The Beatles","1 (Remastered)"
"08/06/1966","18","Paperback Writer","The Beatles","1 (Remastered)"
"08/13/1966","37","Paperback Writer","The Beatles","1 (Remastered)"
"08/20/1966","52","Yellow Submarine","The Beatles","Revolver (Remastered)"
"08/27/1966","8","Yellow Submarine","The Beatles","Revolver (Remastered)"
"08/27/1966","65","Eleanor Rigby","The Beatles","Revolver (Remastered)"
"09/03/1966","5","Yellow Submarine","The Beatles","Revolver (Remastered)"
"09/03/1966","47","Eleanor Rigby","The Beatles","Revolver (Remastered)"
"09/10/1966","3","Yellow Submarine","The Beatles","Revolver (Remastered)"
"09/10/1966","26","Eleanor Rigby","The Beatles","Revolver (Remastered)"
"09/17/1966","2","Yellow Submarine","The Beatles","Revolver (Remastered)"
"09/17/1966","14","Eleanor Rigby","The Beatles","Revolver (Remastered)"
"09/24/1966","4","Yellow Submarine","The Beatles","Revolver (Remastered)"
"09/24/1966","11","Eleanor Rigby","The Beatles","Revolver (Remastered)"
"10/01/1966","8","Yellow Submarine","The Beatles","Revolver (Remastered)"
